#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 01 04 16 51 999 99.0 99.0  2.52 10.53  7.19  57 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 17 21 999 99.0 99.0  2.70 11.11  7.33  57 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 18 51 999 99.0 99.0  2.45 10.53  6.86  71 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 19 21 999 99.0 99.0  2.65 10.53  6.99  69 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 19 51 999 99.0 99.0  2.78  9.88  7.07  76 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 04 20 51 999 99.0 99.0  2.79  9.88  7.08  60 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 04 21 21 999 99.0 99.0  2.86 10.53  7.16  57 9999.0 999.0  27.5 999.0 99.0 99.00
2016 01 04 22 21 999 99.0 99.0  2.73 10.53  7.09  70 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 22 51 999 99.0 99.0  2.58 10.53  7.16  38 9999.0 999.0  27.6 999.0 99.0 99.00
2016 01 04 23 21 999 99.0 99.0  2.55 11.11  7.04  74 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 04 23 51 999 99.0 99.0  2.55 10.53  7.17  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 00 21 999 99.0 99.0  2.43 10.53  6.85  67 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 00 51 999 99.0 99.0  2.39  9.88  6.92  80 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 01 21 999 99.0 99.0  2.39 11.11  6.77  71 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 02 21 999 99.0 99.0  2.36 10.53  6.91  54 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 02 51 999 99.0 99.0  2.33 11.11  6.96  60 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 03 21 999 99.0 99.0  2.26 10.53  6.67  64 9999.0 999.0  27.7 999.0 99.0 99.00
2016 01 05 03 51 999 99.0 99.0  2.09 11.76  6.49  69 9999.0 999.0  27.8 999.0 99.0 99.00
2016 01 05 04 51 999 99.0 99.0  1.97 10.53  6.50  59 9999.0 999.0  27.7 999.0 99.0 99.00
